NO TERMINAL,CONJUNTO PRIMEROS ,,CONJUNTO SIGUIENTES
program,pclass pimpl pstart,,éxito
start,pstart,,exito
Lista-Definiciones,pclass pimpl lambda,,pstart 
Class,pclass ,,pclass pimpl pstart
ClassF,openBrace colon,,pclass pimpl pstart
AtributoE,ppub Str Bool Int  idclass parray lambda,,closeBrace
Impl,pimpl,,pclass pimpl pstart
MiembroE,pst pfn dot lambda,,closeBrace
Herencia,colon,,openBrace
Miembro,pst pfn dot,,pst pfn dot closeBrace
Constructor,dot,,pst pfn dot closeBrace
Atributo,ppub Str Bool Int  idclass parray,,ppub Str Bool Int  idclass parray  closeBrace
Metodo,pst pfn,,pst pfn dot closeBrace
MetodoF,Str Bool Int  idclass parray pvoid objectID,,pst pfn dot closeBrace
Visibilidad,ppub,,Str Bool Int  idclass parray
FormaMetodo,pst,,pfn
BloqueMetodo,openBrace,,pst pfn dot closeBrace éxito 
DeclVarLocalesE,Str Bool Int  idclass parray lambda,,closeBrace  semicolon id pself openParen pif pwhile pfor openBrace pret 
SentenciaE,semicolon id pself openParen pif pwhile pfor openBrace pret  lambda,,closeBrace
DeclVarLocales,Str Bool Int  idclass parray,,Str Bool Int idclass parray pst pfn dot closeBrace éxito
ListaDeclaracionVariables,objectID,,semicolon
ListaDeclaracionVariablesF,comma lambda,,semicolon
ArgumentosFormales,openParen,,openBrace
ArgumentosFormalesF,Str Bool Int  idclass parray closeParen,,openBrace
ListaArgumentosFormales,Str Bool Int  idclass parray,,closeParen
ListaArgumentosFormalesF,comma lambda,,closeParen
ArgumentoFormal,Str Bool Int  idclass parray,,comma closeParen
TipoMetodo,Str Bool Int  idclass parray pvoid,,objectID 
Tipo,Str Bool Int  idclass parray,,objectID 
TipoPrimitivo,Str Bool Int ,,objectID openBracket 
TipoReferencia,idclass,,objectID
TipoArreglo,parray,,objectID
Sentencia,semicolon id pself openParen pif pwhile pfor openBrace pret ,,semicolon id pself openParen pilf pwhile pfor openBrace pret pelse closeBrace 
SentenciaFE,pelse lambda,,semicolon id pself openParen pilf pwhile pfor openBrace pret pelse closeBrace 
SentenciaFR, sumOperator substractionOperator notOperator incrementOperator decrementOperator nil ptrue pfalse const_int const_str openParen self  id idclass new semicolon,,semicolon id pself openParen pilf pwhile pfor openBrace pret pelse closeBrace 
